country,region,rate_per_hour,currency,effective_date
USA,Americas,200,USD,2020-03-31
Canada,Americas,259,CAD,2020-03-31
Brazil,Americas,300,BRL,2020-03-31
Colombia,Americas,593234,COP,2020-03-31
Hong Kong,APAC,1860,HKD,2020-03-31
Singapore,APAC,321,SGD,2020-03-31
Australia,APAC,240,AUD,2020-03-31
Japan,APAC,34000,JPY,2020-03-31
China,APAC,1640,CNY,2020-03-31
South Korea,APAC,280000,KRW,2020-03-31
France,EMEA,120,EUR,2020-03-31
Germany,EMEA,120,EUR,2020-03-31
United Kingdom,EMEA,170,GBP,2020-03-31
Ireland,EMEA,120,EUR,2020-03-31
Netherlands,EMEA,125,EUR,2020-03-31
Switzerland,EMEA,250,CHF,2020-03-31
Sweden,EMEA,1050,SEK,2020-03-31
UAE,EMEA,1102,AED,2020-03-31
Portugal,EMEA,120,EUR,2020-03-31
Finland,EMEA,105,EUR,2020-03-31
Oman,EMEA,300,USD,2020-03-31
Poland,EMEA,400,PLN,2020-03-31
Italy,EMEA,120,EUR,2020-03-31
Turkey,EMEA,120,USD,2020-03-31
Bulgaria,EMEA,120,EUR,2020-03-31
